comment,emotion
Whos here 2025?,sadness
2025 anyone??,joy
Who’s listening in 2025,joy
"I miss you, Peep.",sadness
2025?,joy
Who&#39;s watching this in 2025,joy
2025 gng,joy
When the song reminds u person 💔,sadness
&quot;WRH&quot;💔,joy
2025?,joy
Aug 2025,joy
Whos here in 2025???🔥🔥,sadness
2025?,joy
Aug 2025?,joy
💖✨,joy
2025 anyone ???,joy
2030 remember,sadness
2025?,joy
real. 👐🏼👐🏼👐🏼👐🏼👾,joy
Who’s listening in 2025 ????,joy
Who&#39;s listening to this in 2045?,joy
2025 song still hits,fear
Anyone still here in 2025?,sadness
Who&#39;s listening in 2025,joy
I LOVE LIL PEEP,joy
2025?,joy
2025 anyone??,joy
2074?,joy
2025?,joy
It’s the night of Ozzy Osborne’s Death.,sadness
Who’s listening 2025,joy
2025? Anyone?,joy
25,joy
Who’s listening in 2025?,joy
I hate overthinking,sadness
2025?,joy
“ I’m falling to pieces “❤,joy
2025?,joy
2025?,joy
2025,joy
2025??,joy
2025?,joy
Who listening in 2025?,joy
Wait right here I&#39;ll be back in the morning <br>⚫🌦️🚶🏿,joy
2025 anyone???,joy
Who’s listening in 2025,joy
Name song?,joy
Who&#39;s listening in 2025?,joy
2025 July 5th,joy
Anyone in 2025?,joy
Why did he have to overdose 😔,joy
Whos listening in 2008 rn,joy
2025,joy
Who&#39;s here in 2025??💜,joy
"&quot;I know that I&#39;m not that important to you, <br>But to me, girl, you&#39;re so much more than gorgeous so much more than perfect&quot; 🔥🔥😮‍💨😮‍💨",joy
i love this song ❤,joy
"are my ears broke???<br>i really hear him sing: <br> &quot;wait,where are you&quot;<br>at the beginning.",sadness
"2025, anyone?❤",joy
2025?,joy
Who listening from 2025?,joy
Who listening to this in 2025?,joy
Not a big peep fan and not for what he supports but this song&gt;&gt;&gt;&gt;&gt;,joy
2025 anyone 🎉🎉🎉🎉,joy
Who listening to this in 2025?,joy
2025 whose here,sadness
Any one in 2025,joy
reste in peace from france !!!!!!!!,joy
For you Eli,sadness
Who&#39;s here in 2035,joy
2025???,joy
2025??,joy
2025...,joy
2025??,joy
2025?,joy
2025?,joy
This song is so good,joy
Here in 2025,sadness
Who’s here in 2025 may?,joy
Whos here in 2025?,sadness
Who listening in 2025,joy
2025?,joy
Who bangs this in 2025?,joy
Anyone in 2025? Leave your heart ❤️,joy
2025 anyone??💜🖤,joy
La definición de poema,joy
I&#39;m here in 2025 by the way.,sadness
2025 anyone?,joy
Who‘s listening in 2025?,joy
Well it’s that time of year who’s listening to this in 2025 🙌🏽,joy
2025.... Anyone?,joy
December 2023 / December 2024 😢,joy
Que sad y tan hermosa canción <br>I es que es una bill realidad de desamor 🥹<br>Maldita sea <br>Quien escuchando esta joya en 2025?,sadness
Who listening in 2025?,joy
2025,joy
Star shopping?,joy
"Whos listening in,2025🎉 greetings from Australia 🦘",joy
Still here,fear
Here in 2025 cos he fvked my heart up,sadness
Who listening to this in 2025,joy
Anyone 2055,joy
❤,joy
this song is perfect to listen when it rains,joy
Whos listening in 2025,joy
2025?,joy
Anyone on 2025?,sadness
Who listening to this in 2025?,joy
Whan sad stuff comes to my hand  this make me stop crying thank you,sadness
2025,joy
Who listening to this in 2025?,joy
2025 yall,joy
Its crazy how i came back to this song few years later and i see myself in the lyrics... it hits hard,joy
2025,joy
Me,sadness
"Me <a href=""https://www.youtube.com/watch?v=rFZKABdjrLc&amp;t=17"">0:17</a>",joy
Who listening to this in 2025 ?,joy
2025?,joy
When im fallin in pieces,joy
2025 anyone??,joy
who here in 2025??,joy
Who listening in 2025,joy
2025 anyone? 🫶🏻❤️‍🔥,joy
Someone here in april 2025?,sadness
2025 anyone ??!,joy
So much more than perfect ❤,joy
2025 anyone?❤,joy
2025 🥲,joy
This music forced me to get drunk,joy
Anyone in 2025?🎉,joy
who still bumpin peep in ‘25 ??,joy
2025???,joy
Каникулы💔,joy
Who here in 2025,joy
Who listening to this in 2025?,joy
20207468 who watching here<br>😊,joy
MARCH 2025..,joy
😔😔😔,joy
"<a href=""https://www.youtube.com/watch?v=rFZKABdjrLc&amp;t=16"">0:16</a> 2025? anyone",joy
Who listening in 2025,joy
2025,joy
2025 anyone?,joy
I&#39;m here in 2025.,sadness
this song is on repeat for me 🫶🏼like therapy,sadness
Anyone 2025 guys,sadness
Love you Zayden 💕,sadness
2025?,joy
Who is listening in 2025?❤,joy
2025?🎉🎉,joy
Your music will forever be alive❤❤🎉❤ 2025 still here,joy
2025? RUN THIS UP BABY🖤,joy
2025 anyone????❤,joy
2025 anyone,joy
2025 anyone 🧐,joy
2025 🎉,joy
We’re so sad <br>If you read this l want you to know how much I love you <br>Abd Alrhman ❤️,sadness
❤🙏🏾🤞🏾,joy
Me,sadness
2025 anyone?,joy
and all of a sudden I become that 17 year old teenager the was depressed and turned to acid and Xanax to feel something,joy
Anyone 2025😂❤,joy
2025 anyone???,joy
3030 gng,joy
Who’s hear in 2025?,joy
2025💔,joy
Rip lil peep,joy
Who listening to this in 2025?,joy
lil peep made this song for us,sadness
2025 gang,joy
Anybody 2025,sadness
whos listening to this in 2025 ?😢,joy
if the stars have a reason then whats my reason,joy
2025..,joy
Who listening to this in 2025? <br>Today 31.01.25,joy
Who is listening to this in 2025?,joy
Who listening to this on 2025?,joy
2025?,joy
Anyone 2025?,joy
2025 souls❤,joy
2025?,joy
2025???,joy
Here in 2025,sadness
WHO listening to this in 2025,joy
Rip,joy
2025?,joy
Your missed Lil Peep gone but never forgotten,sadness
2025 but it feels like 2020,sadness
who listening 2025 ha?,joy
2025,joy
Who listening to this in 2025,joy
2025,joy
Wtf this song 🔥🔥🔥🔥🔥🔥😊,joy
I&#39;m in  2025,joy
Who&#39;s here 2025?,joy
Woh is here wit me 2025,sadness
Here i am,joy
Cry baby boy,joy
who listening to this in 2025?,joy
Rip,joy
2025 anyone?,joy
I can admit I was a Peep hater I don&#39;t even like the marshmallows but he was expressing his emotions in a different way just like Juice and X. Rip to that man. music was their escape.,joy
2025😢❤,joy
2025..?,joy
"unfortunately, this shit has likes and was posted.",joy
Who&#39;s listiening 2025?,joy
2025 any1?,joy
Anyone 2025?,joy
I miss lil peep,joy
2025 anyone?,joy
"No 2024,2025🎉😊",sadness
It&#39;s 2025 🎉<br>  We are here 🙏 <br>Love u <br>Mr peep❤,sadness
Who listen in 2025,anger
Who is listening in 2025 💚,joy
2025🌠,joy
2025 anyone?,joy
2025. 🎉🎉 3 января 😎,joy
Whose listening 2025,joy
2025,joy
Who&#39; came back again in 2025,joy
Who is listening to this in 2025?,joy
Any one here I. 2025,sadness
2024,joy
Mep,joy
Me,sadness
This one hits different,joy
Merry Christmas Everyone,joy
Who&#39;s listening in 2025,joy
Rest in peace 🕊️,joy
"&quot;If I find a way, would u walk it me?&quot;",joy
lil peep isn&#39;t dead he&#39;s just star shopping,joy
Why ❤😢 lil peeps 😭😡 love,joy
Absolute poetry,joy
"Here we go again, again , again and again. It feels like I am already dead and i cannot even move a bit, it feels like everything has ended and now all you can remember is about that one relationship, that one person, that one time",sadness
2025,joy
"I love this song so much, Lil peep has the most quietest voice, but so deep and smooth.",joy
2024 december anyone?,joy
"“Look at the sky tonight, all of the stars have a reason” ty peep",joy
"Als je je hiermee kunt identificeren, ben je kapot",joy
Who is listening to this in December 2024❤,joy
Me,sadness
ilsm this song🐣,joy
Any one in December 2024,joy
"Art man, art for real. Nothing but emotion &amp; a form his truth.",joy
Lil peep te amo,joy
Lil peep e vide e sentimento,joy
If you’re still listening to this in 2024 ur a legend,joy
29 november ?,sadness
M still here RIP angel,joy
Wow never heard of hi gave it a shut the lyrics are on point but sound on his songs are horrible I think everyone on here should go peep my friends page his name is rapper sinner he does all forms of hip hop r&amp;b rap reggae country rap country rap rock rap reggae gangster hip hop love songs and gospel and every form also even does some blues add a doo-wop song and some rock pretty much is versatile I&#39;ll go get the link and share it with you guys thank you enjoy❤.,joy
"Me nov 27,2024 at 5:45 pm ❤",joy
"Vrede zij met jou, je hebt een fout in de tekst. Mijn vriend Zain vertelde me dat ❤❤",joy
Be quiet dummy,joy
Shut up you dumb ah,sadness
End of Nov 2024 I’m still here 🖤,sadness
POV it’s 2024😢,joy
Alguien 2024?,joy
I&#39;m depressed. I don&#39;t wanna live.,sadness
lil peep day❤,joy
5/25/24 - 7/13/24,joy
This song never dies 🥲,sadness
2024 and this is still my Comfort song,joy
Me bro do u not like it cuz we didn&#39;t ask for your opinion bro don&#39;t be haten bud,sadness
Happy birthday lil peep🕊️,joy
Lil pep мы некогда не забудем тебя!!!,joy
I know that I&#39;m nothing like my family want me to be if I find a way would you walk it with me? Look at my face cuz we only have 1 Convo a week,sadness
"I know that I&#39;m not that important to you but to me girl your so much more than gorgeous, so much more than perfect. Right now I know I&#39;m not worth it. But give me some time while I work on it - lil peep",joy
For my NightStar ⭐,sadness
kan jag få xxx numer,joy
Anyone 10 2024,joy
rip legend.,joy
i love watching with like 50 times,joy
Me I fucking  love lil peep,sadness
"<a href=""https://www.youtube.com/watch?v=rFZKABdjrLc&amp;t=55"">0:55</a> “I did this all by myself matter of fact I ain’t never asked no one for help and that’s why I never pick up my phone when it rings” 😶",sadness
Love music,joy
Too many thoughts going through my head but music always makes it better,joy
best music ever,joy
Well i listen to this its my fav songs,sadness
"<a href=""https://www.youtube.com/watch?v=rFZKABdjrLc&amp;t=47"">0:47</a>",joy
rest in peace lil peep 🕊️,joy
Meee still love it,joy
Who still listening in 2031 ?,joy
"None of my exes is over lil peep, Oh no ones over lil peep",sadness
That’s why your friends always hatin on me f*ck em though I did this all by myself 😔,sadness
This always makes me melt down 😢,joy
(None of my exes is over lil peep) no ones over lil peep,sadness
I Love you lil...,sadness
"&quot;Look at the sky tonight ,all of the stars have a reason...&quot;",joy
His only good song,joy
who&#39;s listening to this in october 2024???,joy
Anyone in 3045,joy
Mel if it&#39;s real you find me,sadness
السلام عليكم you have a mistak in lyrcs pleas my friend zain told me that ❤❤,sadness
"I just discovered this song yesterday and i played it for almost an hour of road trip, it was a good experience... RIP.",sadness
"I know its underrated af but I don’t ever want the reels and tiktok ruin this perfect song ,",joy
💔💔💔💔,joy
who listening in 2024?,joy
I might cry tonight. I&#39;m not ok 😅,joy
"Wait right here<br>I&#39;ll be back in the morning<br>I know that I&#39;m not that important to you<br>But to me, girl, you&#39;re so much more than gorgeous<br>So much more than perfect<br>Right now I know that I&#39;m not really worth it<br>If you give me time, I could work on it<br>Give me some time while I work on it<br>Losin&#39; your patience, and, girl, I don&#39;t blame you<br>The Earth&#39;s in rotation, you&#39;re waiting for me<br>Look at my face when I fuck on your waist<br>&#39;Cause we only have one conversation a week<br>That&#39;s why your friends always hatin&#39; on me<br>Fuck &#39;em though, I did this all by myself<br>Matter of fact, I ain&#39;t ever asked no one for help<br>And that&#39;s why I don&#39;t pick up my phone when it rings<br>None of my exes is over Lil Peep<br>Nobody flexin&#39; as much as I be<br>That&#39;s why she text me and tell me she love me<br>She know that someday I&#39;ll be over the sea<br>Makin&#39; my money and smokin&#39; my weed<br>I think it&#39;s funny, she open up to me, get comfortable with me<br>Once I got it comin&#39;, I love her, she love me<br>I know that I&#39;m nothing like someone the family want me to be<br>If I find a way, would you walk it with me?<br>Look at my face while you talkin&#39; to me<br>&#39;Cause we only have one conversation a week<br>Can I get one conversation at least?<br>Shout out to everyone makin&#39; my beats, you helpin&#39; me preach<br>This music&#39;s the only thing keeping<br>The peace when I&#39;m fallin&#39; to pieces<br>Look at the sky tonight, all of the stars have a reason<br>A reason to shine, a reason like mine, and I&#39;m fallin&#39; to pieces<br>Look at the sky tonight, all of the stars have a reason",sadness
Who’s listening in the future?,joy
"&quot;look at the stars tonight,all of the stars have a reason&quot; best oneeee&lt;3",joy
"“Look at the sky tonight,all of the stars have a reason”😍",joy
Anyone 2024 9 11?,joy
My bf told me the beginning of this song reminds him of me<br>Is that a good thing or a bad thing yall i need to know?😢😅,sadness
❤❤❤,joy
Who&#39;s listening to this 2055 anyone?,joy
Everyday I Come Here Listen To Tge Music Cry And Read Comments 😂😂,sadness
making money and smoking my weed,joy
"“All of the stars have a reason”<br>✨-Lil peep <br>✨-Xxxtentacion<br>✨-King von <br>✨-Juice wrld <br>✨-Tupac <br>✨-Pop smoke<br>Eventually, you will have to move onto the next chapter in your life. They aren’t gonna be there long rest in peace to the people who we have loved and cherished RIP Lil Peep…❤☹️😭",joy
Me,sadness
RIP lil peep🤍🕊️,joy
damn he&#39;s right,anger
Wish this song was longer,joy
Me🎉,sadness
"<a href=""https://www.youtube.com/watch?v=rFZKABdjrLc&amp;t=64"">1:04</a> hits hard",joy
classic,joy
I listen to this in 2024,joy
ЮТУБ НЕ РАБОТАЕТ!!!!,joy
I miss you but y your there grab me a star ❤🥹,sadness
"<a href=""https://www.youtube.com/watch?v=rFZKABdjrLc&amp;t=100"">1:40</a> damn😢",joy
Meee,joy
this music the only thing keeping the peace when I&#39;m falling to pieces 🤩,joy
Go asleep baby theres no point of worrying about him..,joy
I Know That im nothing like someone the family want me to be 😔,sadness
"<a href=""https://www.youtube.com/watch?v=rFZKABdjrLc&amp;t=62"">1:02</a> this sound😩",joy
Just sang this at a karaoke spot lol,joy
Song just doesn’t leave my head,sadness
anyone listening to this in 2026?,joy
If i find a way would u walk it with me,joy
"<a href=""https://www.youtube.com/watch?v=rFZKABdjrLc&amp;t=105"">1:45</a> tho❤",joy
1.45 is the best,joy
This song is literally explaining my situation with my boyfriend I used it listen to this song so much when it came out but now that I’m older I really know the deep meaning behind it,joy
Dell rodau tvers is going be mother star in the sky❤,joy
2024 14 august,joy
Love u person ❤,joy
Anyone August 2024?,joy
This song hits different when you hit the za🍃,joy
3 sus,joy
Stop asking who will listen to peep. Always,joy
[*],joy
august 2024 anyone?,joy
Who&#39;s here on 2037?,sadness
Ily peep,joy
August 2024 anyone?,joy
Who listening to this in 2025 ?,joy
Who listening to this in 2026 ?,joy
I can listen to this and not get tried ❤,sadness
2024 decided to learn this on acoustic. <br>Brings back many memories,joy
Me,sadness
Shit saved my life twice,sadness
who’s listening to this 2024 July ?,joy
July 2024 anyone ?,joy
July 2024 who’s listening???,joy
July 2024🎉,joy
July 2024 anyone?,joy
I am broken I am .,joy
July 2024 anyone?,joy
forever,joy
July 2024,joy
Just that it is 2024 don’t have to be rude person that died in 2017,joy
July 2024??,joy
Jule 2024 anyone?,joy
2024 still here,fear
Every time<br>It hits different,joy
Imagine this in a pregant girl to playing this for her soon to be baby in that perspective,joy
"Wait right here (wait right here)<br>I&#39;ll be back in the mornin&#39; (mornin&#39;)<br>I know that I&#39;m not that important to you<br>But to me, girl, you&#39;re so much more than gorgeous (yeah)<br>So much more than perfect (yeah)<br>Right now, I know that I&#39;m not really worth it<br>If you give me time, I can work on it<br>Give me some time while I work on it<br>Losin&#39; your patience, and, girl, I don&#39;t blame you<br>The Earth&#39;s in rotation, you&#39;re waitin&#39; for me<br>Look at my face when I fuck on your waist<br>&#39;Cause we only have one conversation a week<br>That&#39;s why your friends always hatin&#39; on me<br>Fuck &#39;em though, I did this all by myself<br>Matter fact, I ain&#39;t never asked no one for help<br>And that&#39;s why I don&#39;t pick up my phone when it ring<br>None of my exes is over Lil Peep<br>Nobody flexin&#39; as much as I be<br>That&#39;s why she text me and tell me she love me<br>She know that someday I&#39;ll be over the sea<br>Makin&#39; my money and smokin&#39; my weed<br>I think it&#39;s funny, she open up to me<br>Get comfortable with me, once I got it comin&#39;<br>I love her, she love me<br>I know that I&#39;m nothing like someone her family want me to be<br>If I find a way, would you walk it with me?<br>Look at my face while you talkin&#39; to me<br>&#39;Cause we only have one conversation a week<br>Can I get one conversation at least?<br>Shout out to everyone makin&#39; my beats<br>You helpin&#39; me preach<br>This music&#39;s the only thing keepin&#39; the peace when I fall into pieces<br>Look at the sky tonight<br>All of the stars have a reason<br>A reason to shine, a reason like mine<br>And I&#39;m fallin&#39; to pieces<br>Look at the sky tonight<br>All of them stars have a reason",sadness
who listening in 2024?,joy
❤❤❤❤❤❤❤❤❤,joy
&quot;And im falling in peices&quot; hit hard,joy
Banger,joy
“A reason to shine”🫡,joy
me😊,sadness
This song at 3 in the morning hits different.,joy
November 2033 anyone?,sadness
Listen it on 2x,joy
Rip lil peep a legend,joy
glade this music is still alive ..,joy
Wait right here I&#39;ll be back in the morning I know that I&#39;m not that important to you but it me girl you&#39;re so much than gorgeous So much than perfect right now I know that I&#39;m not ready worth it if you give me time I could work on it give me some time while I work on it (that all for today my   sister tried),joy
ჩემი გიო მინდა :((,joy
yes😭,joy
This song hits hard,sadness
Its a thunder storm,sadness
If you can relate to this your broken,sadness
I miss lil peep 😢 I hope it&#39;s me ❤,sadness
“cause we only have one conversation a week”,joy
Who still thinks he is the best in 2024,joy
traumatized after my ex,sadness
Send this song throughout universes,joy
2024,joy
RIP LIL PEEP,joy
"<a href=""https://www.youtube.com/watch?v=rFZKABdjrLc&amp;t=20"">0:20</a>",joy
"I wanna Die Peep, please let me go God.💔💔💔😇",joy
Someone just take me out Alr,sadness
2024 like here!🔥🔥💕,sadness
June 2024 anyone ?,joy
"When im gone please remember i loved you.till the moon and back. To my brothers,ill join you soon.",joy
June 2024?? Anyone???,joy
2 mins<br>1 great song<br>0 alive<br>rip,sadness
“Making my money smoking my weed”,joy
Люблю лил пипа,joy
June 2024 anyone!?!?,joy
this song remind me of her eyes,sadness
june 2024 anyone???,joy
2024 is so sad i am broken 🫶🕊,joy
Me,sadness
"<a href=""https://www.youtube.com/watch?v=rFZKABdjrLc&amp;t=135"">2:15</a>",joy
"Sometimes, it&#39;s best to be alone even when it hurts the most",sadness
😢,joy
Who&#39;s listening to this yesterday ago,joy
Ths song has the same tempo as a made in abyss ost i dont remember the name,sadness
I heard an instrumental by Julia Gartha called you should know me by now and it sounds so similar to this.. I love when I hear instrumentals that I recognize,joy
&quot;When I die love me&quot;,sadness
rip lil peep :(,joy
he&#39;s not dead he&#39;s star shopping,joy
Me,sadness
Hitting hard @ 4am after getting home from a work trip /:,joy
lil peep and TX2 should make a song together,sadness
"came back to my comment from last year. i’ve always loved this song sm. it makes me cry a little extra now cuz this is what i would listen to all of november, after i found out my boyfriend slept with some1else. me and my girl in my belly was all alone. i constantly cry to this song when nobody is home. i love you peep&lt;3 i can’t wait to be on the other side with you. i really wish i could have seen you.&lt;3 -kai 19yrs",sadness
"May 22, 2024 it just makes so much sense to listen to this......",joy
bag pula,joy
Listening to this everyday no matter what ily Peep. Forever live on,sadness
Yes me,joy
m,joy
Nooo👎😂,joy
man this song never fails about making me cry,joy
Idk wtf im doing with my life,joy
On repeat everyday atp…,sadness
This song though ❤,joy
"<a href=""http://www.youtube.com/results?search_query=%23longlivekeigan"">#Longlivekeigan</a>. ❤️",joy
The pain in these words 😢,sadness
Love it,joy
This made me cry no lie..,sadness
If I find my way will you walk in with me 💔,sadness
Me,sadness
Me I would this is the bomb,joy
❤ legendary rip peep I relate so much to this song 💔💔💔💔💔,joy
Who is listening to this in 2024 me bc it’s so good like it it’s different,joy
i’m walking down the isle to this song,joy
All the way up on my JBL speaker,sadness
2024,joy
I been living with I love this song my favorite and the Playlist I miss Lil peep fly high Lil peep 💔,sadness
2024 may anyone?,joy
All the stars have a reason,joy
forever anyone?,joy
Me,sadness
rip lil sleep that boy 6 feet deep foreva sleep he kinda spit tho ngl,joy
"lil peep was such a good lyricist, such a shame how he carried on",joy
My daughter just asked me to play this. Father of the year ❤,joy
"rest in peace ma boy ,i love u &lt;3",joy
2024 May anyone???,joy
"Today my Teacher send me to the doctor. She called my dad. I have the feeling that everyone hate me right now. I have the feeling that i dont will stay here for long anymore. I love this song, it makes me clam somehow. Everything is so chaotic",joy
Forever and always❤,joy
"Wait right here I’ll be back in the morning,ik that I’m not that important to you but to me girl you’re so much more than gorgeous you’re so much more than perfect.right now jk that I’m not really worth it if u give me some time I could work on it give me some time while I work on it. Losing ur patience and girl I don’t blame u the earth’s in rotation. You’re eating for me look at my face while I fuck on ur waist &quot;cuz we only have 1 conversation a week” that’s why you’re friends be hating on me. Fuck them though I Did this all by myself matter of fact I ain’t ever asked no one for help and that’s why I don’t pick up my phone when it rings. None of my exs is over lil peep nobody flexing as much as I be that’s why she text me and tell me she love me she n know someday I’ll be over the sea making my money and smoking my weed I think it’s funny she open up to to me get comfortable with me once I got it coming I love her she love me. Ik that I’m nothing like someone the family want me to be if I find a way would you walk it with me look at my face while u talking to me cuz we only have one conversation a week can I get one conversation at least. Shout out to everyone making my beats you helping me preach. This musics the only thing keeping  the peace when I’m falling to pieces. LOOK AT THE SKY TONIGHT ALL OF THE STARS HAVE A REASON A REASON TO SHINE A REASON LIKE MINE AND IM FALLING TO PIECES LOOK AT THE SKY TONIGHT ALL OF THE STARS HAVE A REASON.",joy
Me,sadness
I know that I&#39;m nothing like the someone the family want me to be,joy
Who’s listening to this in 2011,joy
Look at the stars tonight..,joy
Me haters y&#39;all are so mean,sadness
Who&#39;s listening to this in 2026?,joy
He&#39;s really star shopping now,joy
Look at the sky tonight all of the stars have a reason hits different,joy
Pure liebe,joy
May?,joy
2024 May anyone?,joy
damn im floating back to the days.,joy
How have i only found this.<br>On repeat and singing to the stars,joy
🎉,joy
Who&#39;s listening to this in 2025?,joy
“Right now I know I’m not really if u give me time I can work on it” brings me back to when my now ex told me he needed time to himself and then went and had a one night stand and then came crying on my door step cause he was drunk and didn’t know what to do so I called his mom and she came with a change of his clothes and he stayed at my house for 2 years working on himself and now he’s one of my best friends 🙂,joy
2030 anyone,joy
Look at the sky tonight all of the stars have a reason a reason to shine a reason like mine and im falling to pieces,joy
This music&#39;s the only thing keeping the peace when im falling to pieces,joy
I&#39;m still listening to this in 2024❤,joy
Masterpiece,joy
lOOK AT THE SKY TONIGHT! ~TURNS INTO THE ALPHA~<br><br>IM THE ALPHA IM THE LEADER!,joy
Just got my 7” of this🖤🤘,sadness
🏴‍☠️,joy
Why is the the song unavailable on peeps page,joy
2024?,joy
"Been Star Shopping for years, just found mine.",sadness
2024 april 28th anyone,joy
"best <a href=""https://www.youtube.com/watch?v=rFZKABdjrLc&amp;t=142"">2:22</a> of my life",joy
"Wait right here<br>I&#39;ll be back in the mornin&#39;<br>I know that I&#39;m not that important to you<br>But to me, girl, you&#39;re so much more than gorgeous (yeah)<br>So much more than perfect (yeah)<br>Right now I know that I&#39;m not really worth it<br>If you give me time, I could work on it<br>Give me some time while I work on it<br>Losin&#39; your patience, and, girl, I don&#39;t blame you<br>The Earth&#39;s in rotation, you&#39;re waitin&#39; for me (yeah)<br>Look at my face when I fuck on your waist<br>&#39;Cause we only have one conversation a week<br>That&#39;s why your friends always hatin&#39; on me<br>Fuck &#39;em though, no I did this all by myself<br>Matter fact, I ain&#39;t never asked no one for help<br>And that&#39;s why I don&#39;t pick up my phone when it rings<br>None of my exes is over Lil Peep<br>Nobody flexin&#39; as much as I be<br>That&#39;s why she text me and tell me she love me<br>She know that someday I&#39;ll be over the sea<br>Makin&#39; my money and smokin&#39; my weed<br>I think it&#39;s funny, she open up to me, get comfortable with me<br>Once I got it comin&#39;, I love her, she love me<br>I know that I&#39;m nothing like someone her family want me to be<br>If I find a way, would you walk it with me?<br>Look at my face while you talkin&#39; to me<br>&#39;Cause we only have one conversation a week<br>Can I get one conversation at least?<br>Shout out to everyone makin&#39; my beats, you helpin&#39; me preach<br>This music&#39;s the only thing keepin&#39; the peace when I&#39;m fallin&#39; to pieces<br>Look at the sky tonight, all of the stars have a reason<br>A reason to shine, a reason like mine and I&#39;m fallin&#39; to pieces<br>Look at the sky tonight, all of those stars have a reason",sadness
u know all girls are the same😢,sadness
Halaldi qaqa Allah sesine quvet versin❤🤲🤲🤲🤲💋,joy
Ilooooooveeeeyouuuu peeeeeeep,joy
Meeeee,joy
i miss you 🪐,sadness
"I&#39;m listening to this on repeat. I don&#39;t even usually listen to lil peep. I just rlly miss my best friend, her dad hates me and this is her fav song.",joy
"“Look at the sky tonight, all of the stars have a reason” ❤",joy
Would never forget the girl i used to think about while playing this song,joy
Nah i was listening to lil peep tryna sleep then this came on ruined my vibe,joy
Dawg I just found this…,sadness
Therapy,joy
"2024 whats happin, so relevant",joy
My therapy,sadness
Rip peep 😢,joy
I&#39;m always here I lost dad in September 2023 and then 3 months later lost my brother to suicide. So I&#39;m always here,sadness
Rip 😭,joy
I love you cailyn cineas Henry 🤞🏼😵‍💫😵‍💫😫❤️😕maybe you’ll see this comment who knows,joy
this music is so relaxing.❤,joy
who still listening to this day,joy
6m mfs be jamming to this everyday g,joy
Everyone,joy
me,sadness
My bestfriend commited suicide 5 days ago and this is the only song I can listen to to feel like he’s still here with me 😢,joy
Here in 2024,sadness
"Relax, sit here, I know this isn&#39;t your first time here.",sadness
"I heard this song in rehab, and man. it would make no sense to a person that hasn&#39;t gone thru the stages of delusion someone who has been thru addiction the same way it would to somebody who did not",sadness
Real,joy
I wish I could hear this for the first time again,joy
I&#39;ll always be here 😢,sadness
"<a href=""https://www.youtube.com/watch?v=r9nsXaEy_dg"">https://youtu.be/r9nsXaEy_dg?si=TQgjSHeVo820lVYR</a><br><br>Check out my bro’s song.",joy
Me,sadness
Me!!,sadness
Still in 2024,fear
I love lilpeep,joy
Whos listening to this in 1823,joy
Us against the world no no💕🙏🏽,joy
Me science it came out,joy
Here in 2024 ❤,sadness
I’m here in 2024,sadness
